"TL","Territory level and Typology","REG_ID","Region","VAR","Indicator","POS","Position","TIME","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"1","Country","AUT","Austria","HOMIC","Intentional Homicides (number)","ALL","All regions","2008","2008",,,"0","Units",,,46,,
"1","Country","AUT","Austria","HOMIC_RA","Intentional Homicide Rate (homicides for 100 000 population)","ALL","All regions","2008","2008",,,"0","Units",,,0.6,,
"1","Country","AUT","Austria","VEH_THEFT","Motor Vehicle Theft Rate (number)","ALL","All regions","2008","2008",,,"0","Units",,,9049,,
"1","Country","AUT","Austria","VEH_THEFT_RA","Motor Vehicle Theft Rate (vehicule theft for 10 000 population)","ALL","All regions","2008","2008",,,"0","Units",,,108.7,,
"1","Country","AUT","Austria","HOMIC","Intentional Homicides (number)","ALL","All regions","2009","2009",,,"0","Units",,,43,,
"1","Country","AUT","Austria","HOMIC_RA","Intentional Homicide Rate (homicides for 100 000 population)","ALL","All regions","2009","2009",,,"0","Units",,,0.5,,
"1","Country","AUT","Austria","VEH_THEFT","Motor Vehicle Theft Rate (number)","ALL","All regions","2009","2009",,,"0","Units",,,9289,,
"1","Country","AUT","Austria","VEH_THEFT_RA","Motor Vehicle Theft Rate (vehicule theft for 10 000 population)","ALL","All regions","2009","2009",,,"0","Units",,,111.3,,
"1","Country","AUT","Austria","HOMIC","Intentional Homicides (number)","ALL","All regions","2010","2010",,,"0","Units",,,56,,
"1","Country","AUT","Austria","HOMIC_RA","Intentional Homicide Rate (homicides for 100 000 population)","ALL","All regions","2010","2010",,,"0","Units",,,0.7,,
"1","Country","AUT","Austria","VEH_THEFT","Motor Vehicle Theft Rate (number)","ALL","All regions","2010","2010",,,"0","Units",,,5150,,
"1","Country","AUT","Austria","VEH_THEFT_RA","Motor Vehicle Theft Rate (vehicule theft for 10 000 population)","ALL","All regions","2010","2010",,,"0","Units",,,61.6,,
"1","Country","AUT","Austria","HOMIC","Intentional Homicides (number)","ALL","All regions","2011","2011",,,"0","Units",,,71,,
"1","Country","AUT","Austria","HOMIC_RA","Intentional Homicide Rate (homicides for 100 000 population)","ALL","All regions","2011","2011",,,"0","Units",,,0.8,,
"1","Country","AUT","Austria","VEH_THEFT","Motor Vehicle Theft Rate (number)","ALL","All regions","2011","2011",,,"0","Units",,,5158,,
"1","Country","AUT","Austria","VEH_THEFT_RA","Motor Vehicle Theft Rate (vehicule theft for 10 000 population)","ALL","All regions","2011","2011",,,"0","Units",,,61.5,,
"1","Country","AUT","Austria","HOMIC","Intentional Homicides (number)","ALL","All regions","2012","2012",,,"0","Units",,,82,,
"1","Country","AUT","Austria","HOMIC_RA","Intentional Homicide Rate (homicides for 100 000 population)","ALL","All regions","2012","2012",,,"0","Units",,,1,,
"1","Country","AUT","Austria","VEH_THEFT","Motor Vehicle Theft Rate (number)","ALL","All regions","2012","2012",,,"0","Units",,,3805,,
"1","Country","AUT","Austria","VEH_THEFT_RA","Motor Vehicle Theft Rate (vehicule theft for 10 000 population)","ALL","All regions","2012","2012",,,"0","Units",,,45.1,,
"1","Country","AUT","Austria","HOMIC","Intentional Homicides (number)","ALL","All regions","2013","2013",,,"0","Units",,,52,,
"1","Country","AUT","Austria","HOMIC_RA","Intentional Homicide Rate (homicides for 100 000 population)","ALL","All regions","2013","2013",,,"0","Units",,,0.6,,
"1","Country","AUT","Austria","VEH_THEFT","Motor Vehicle Theft Rate (number)","ALL","All regions","2013","2013",,,"0","Units",,,3882,,
"1","Country","AUT","Austria","VEH_THEFT_RA","Motor Vehicle Theft Rate (vehicule theft for 10 000 population)","ALL","All regions","2013","2013",,,"0","Units",,,45.8,,
"1","Country","BEL","Belgium","HOMIC","Intentional Homicides (number)","ALL","All regions","2001","2001",,,"0","Units",,,217,,
"1","Country","BEL","Belgium","HOMIC_RA","Intentional Homicide Rate (homicides for 100 000 population)","ALL","All regions","2001","2001",,,"0","Units",,,2.1,,
"1","Country","BEL","Belgium","HOMIC","Intentional Homicides (number)","ALL","All regions","2002","2002",,,"0","Units",,,284,,
"1","Country","BEL","Belgium","HOMIC_RA","Intentional Homicide Rate (homicides for 100 000 population)","ALL","All regions","2002","2002",,,"0","Units",,,2.7,,
"1","Country","BEL","Belgium","HOMIC","Intentional Homicides (number)","ALL","All regions","2003","2003",,,"0","Units",,,326,,
"1","Country","BEL","Belgium","HOMIC_RA","Intentional Homicide Rate (homicides for 100 000 population)","ALL","All regions","2003","2003",,,"0","Units",,,3.1,,
"1","Country","BEL","Belgium","HOMIC","Intentional Homicides (number)","ALL","All regions","2004","2004",,,"0","Units",,,229,,
"1","Country","BEL","Belgium","HOMIC_RA","Intentional Homicide Rate (homicides for 100 000 population)","ALL","All regions","2004","2004",,,"0","Units",,,2.2,,
"1","Country","BEL","Belgium","HOMIC","Intentional Homicides (number)","ALL","All regions","2005","2005",,,"0","Units",,,221,,
"1","Country","BEL","Belgium","HOMIC_RA","Intentional Homicide Rate (homicides for 100 000 population)","ALL","All regions","2005","2005",,,"0","Units",,,2.1,,
"1","Country","BEL","Belgium","HOMIC","Intentional Homicides (number)","ALL","All regions","2006","2006",,,"0","Units",,,223,,
"1","Country","BEL","Belgium","HOMIC_RA","Intentional Homicide Rate (homicides for 100 000 population)","ALL","All regions","2006","2006",,,"0","Units",,,2.1,,
"1","Country","BEL","Belgium","VEH_THEFT","Motor Vehicle Theft Rate (number)","ALL","All regions","2006","2006",,,"0","Units",,,18350,,
"1","Country","BEL","Belgium","VEH_THEFT_RA","Motor Vehicle Theft Rate (vehicule theft for 10 000 population)","ALL","All regions","2006","2006",,,"0","Units",,,174,,
"1","Country","BEL","Belgium","HOMIC","Intentional Homicides (number)","ALL","All regions","2007","2007",,,"0","Units",,,211,,
"1","Country","BEL","Belgium","HOMIC_RA","Intentional Homicide Rate (homicides for 100 000 population)","ALL","All regions","2007","2007",,,"0","Units",,,2,,
"1","Country","BEL","Belgium","VEH_THEFT","Motor Vehicle Theft Rate (number)","ALL","All regions","2007","2007",,,"0","Units",,,18503,,
"1","Country","BEL","Belgium","VEH_THEFT_RA","Motor Vehicle Theft Rate (vehicule theft for 10 000 population)","ALL","All regions","2007","2007",,,"0","Units",,,174.1,,
"1","Country","BEL","Belgium","HOMIC","Intentional Homicides (number)","ALL","All regions","2008","2008",,,"0","Units",,,202,,
"1","Country","BEL","Belgium","HOMIC_RA","Intentional Homicide Rate (homicides for 100 000 population)","ALL","All regions","2008","2008",,,"0","Units",,,1.9,,
"1","Country","BEL","Belgium","VEH_THEFT","Motor Vehicle Theft Rate (number)","ALL","All regions","2008","2008",,,"0","Units",,,17636,,
"1","Country","BEL","Belgium","VEH_THEFT_RA","Motor Vehicle Theft Rate (vehicule theft for 10 000 population)","ALL","All regions","2008","2008",,,"0","Units",,,164.7,,
"1","Country","BEL","Belgium","HOMIC","Intentional Homicides (number)","ALL","All regions","2009","2009",,,"0","Units",,,189,,
"1","Country","BEL","Belgium","HOMIC_RA","Intentional Homicide Rate (homicides for 100 000 population)","ALL","All regions","2009","2009",,,"0","Units",,,1.8,,
"1","Country","BEL","Belgium","VEH_THEFT","Motor Vehicle Theft Rate (number)","ALL","All regions","2009","2009",,,"0","Units",,,16422,,
"1","Country","BEL","Belgium","VEH_THEFT_RA","Motor Vehicle Theft Rate (vehicule theft for 10 000 population)","ALL","All regions","2009","2009",,,"0","Units",,,152.1,,
"1","Country","BEL","Belgium","HOMIC","Intentional Homicides (number)","ALL","All regions","2010","2010",,,"0","Units",,,189,,
